,건축물명,면적,정제도로명주소,정제지번주소,정제WGS84위도,정제WGS84경도
389,인계동분회경로당,82.04,경기도 수원시 팔달구 장다리로219번길 16,경기도 수원시 팔달구 인계동 973,37.2696685911,127.0249215148
393,수곡경로당,109.78,경기도 수원시 팔달구 세지로 436,경기도 수원시 팔달구 우만동 500,37.287075982,127.0320886194
395,산수경로당,180.35,경기도 수원시 팔달구 팔달문로150번길 7-1,경기도 수원시 팔달구 우만동 552-7,37.2826263801,127.0329171031
396,중부경로당,68.46,경기도 수원시 팔달구 경수대로616번길 32,경기도 수원시 팔달구 우만동 560,37.2809198509,127.0321831354
397,우만1동 환경관리원 쉼터,81.34,경기도 수원시 팔달구 월드컵로381번길 31,경기도 수원시 팔달구 우만동 585-5,37.2902959951,127.0280636009
412,지동경로당,259.14,경기도 수원시 팔달구 세지로306번길 29-5,경기도 수원시 팔달구 지동 110-15,37.2782438781,127.025679793
416,지동어린이집,599.15,경기도 수원시 팔달구 창룡문로 56,경기도 수원시 팔달구 지동 297-3,37.2820004493,127.0228811741
417,지동 행정복지센터(환경관리원 쉼터 및 창고),82.52,경기도 수원시 팔달구 팔달문로115번길 5,경기도 수원시 팔달구 지동 479,37.2820318377,127.0284649099
419,팔창경로당,122.18,경기도 수원시 팔달구 행궁로 63,경기도 수원시 팔달구 팔달로3가 94-5,37.276987072,127.0158177493
421,동말경로당,102.11,경기도 수원시 팔달구 동말로 24-6,경기도 수원시 팔달구 화서동 184-143,37.2774942712,126.9969430791
427,시립 서호어린이집,836.76,경기도 수원시 팔달구 수성로 120,경기도 수원시 팔달구 화서동 410-6,37.2843167111,126.9862604877
429,꽃뫼경로당,78.42,경기도 수원시 팔달구 수성로157번길 27-18,경기도 수원시 팔달구 화서동 678-1,37.2875198705,126.9890244337
432,인계동 본동 경로당,127.35,경기도 수원시 팔달구 장다리로233번길 28-27,경기도 수원시 팔달구 인계동 822-28,37.2717854537,127.0245698396
434,장다리경로당,150.42,경기도 수원시 팔달구 세지로198번길 26-14,경기도 수원시 팔달구 인계동 984-10,37.2679066588,127.0238723992
435,장안경로당,199.68,경기도 수원시 팔달구 화서문로31번길 13,경기도 수원시 팔달구 장안동 110-7,37.2855210156,127.0108896031
469,신복경로당,95.14,경기도 수원시 팔달구 중부대로125번길 23-11,경기도 수원시 팔달구 지동 182-2,37.2796272467,127.0289988057
470,동문경로당,232.34,경기도 수원시 팔달구 창룡문로100번길 10,경기도 수원시 팔달구 지동 232-26,37.2857528244,127.0257680412
472,못골경로당,121.5,경기도 수원시 팔달구 팔달문로115번길 43,경기도 수원시 팔달구 지동 473,37.283479984,127.0276887741
475,화서1동경로당,161.81,경기도 수원시 팔달구 팔달로119번길 64,경기도 수원시 팔달구 화서동 116-5,37.2794815949,127.0000770517
476,화서1동 환경관리원 쉼터,199.3,경기도 수원시 팔달구 동말로26번길 9-19,경기도 수원시 팔달구 화서동 184-115,37.2779855099,126.9980001354
477,화서1동어린이집,596.72,경기도 수원시 팔달구 동말로4번길 22,경기도 수원시 팔달구 화서동 184-353,37.2760811789,126.9953169156
480,서문경로당,199.86,경기도 수원시 팔달구 팔달로173번길 14-13,경기도 수원시 팔달구 화서동 34-4,37.2842661421,127.0060807374
483,시립 꽃뫼보듬이 나눔이 어린이집,849.24,경기도 수원시 팔달구 덕영대로697번길 21-4,경기도 수원시 팔달구 화서동 660,37.2851235781,126.9914435154
484,서화경로당,151.44,경기도 수원시 팔달구 팔달로153번길 4,경기도 수원시 팔달구 화서동 68-4,37.2821813958,127.005473924
496,시립지방산업단지 어린이집,1570,경기도 수원시 권선구 산업로 174-21,경기도 수원시 권선구 고색동 1095,37.241951136,126.9841007754
498,고색2동경로당(작은말),71.34,경기도 수원시 권선구 고색로78번길 5,경기도 수원시 권선구 고색동 36-31,37.2509168749,126.9854491534
512,안용경로당,195.75,경기도 수원시 권선구 동수원로146번길 16-10,경기도 수원시 권선구 곡반정동 523,37.2434040874,127.0322572729
516,곡반정경로당,326.64,경기도 수원시 권선구 곡반정로19번길 47,경기도 수원시 권선구 곡반정동 591-7,37.234046038,127.0250774915
522,군들경로당,262.6,경기도 수원시 권선구 구운로45번길 8-32,경기도 수원시 권선구 구운동 962-10,37.2775537989,126.9713032715
531,삼천리권선2차아파트 내 어린이집,213,경기도 수원시 권선구 매탄로 25,경기도 수원시 권선구 권선동 1238,37.2545528894,127.0387738767
544,중앙경로당,163.99,경기도 수원시 권선구 세지로112번길 25-18,경기도 수원시 권선구 권선동 954-2,37.2620726114,127.0211348145
545,제일경로당,148.32,경기도 수원시 권선구 장다리로 97,경기도 수원시 권선구 권선동 985,37.259035536,127.0212893686
549,상촌경로당,270.86,경기도 수원시 권선구 금곡로 5-9,경기도 수원시 권선구 금곡동 758-9,37.2682970617,126.9381525462
550,당수동어린이집,596.51,경기도 수원시 권선구 당진로22번길 46,경기도 수원시 권선구 당수동 227,37.2908192981,126.9431409576
559,여기산경로당,186.04,경기도 수원시 권선구 여기산로16번길 17,경기도 수원시 권선구 서둔동 260-66,37.2789335674,126.97958456
564,문화경로당,116.48,경기도 수원시 권선구 세지로12번길 45,경기도 수원시 권선구 세류동 1106,37.2526555044,127.017304103
565,세리경로당,130.5,경기도 수원시 권선구 경수대로235번길 68-4,경기도 수원시 권선구 세류동 1135,37.2496687567,127.0143350577
566,신곡경로당,162.06,경기도 수원시 권선구 경수대로191번길 14-4,경기도 수원시 권선구 세류동 1155-2,37.2445584615,127.0166905199
583,세류3동 분회경로당,185.43,경기도 수원시 권선구 정조로588번길 18-9,경기도 수원시 권선구 세류동 152-14,37.2606752904,127.0144561123
587,세류1동 분회경로당,198.91,경기도 수원시 권선구 세류로38번길 13-8,경기도 수원시 권선구 세류동 222-3,37.2626171121,127.0088273162
589,가는골경로당,254.16,경기도 수원시 권선구 덕영대로997번길 61,경기도 수원시 권선구 세류동 256-27,37.2585633071,127.007252282
590,통미경로당,60.77,경기도 수원시 권선구 덕영대로1049번길 18-6,경기도 수원시 권선구 세류동 450-2,37.2569539331,127.0082438576
594,신성경로당,115.47,경기도 수원시 권선구 세권로 89-10,경기도 수원시 권선구 세류동 519-1,37.2585481937,127.0145035975
595,현대경로당,198.11,경기도 수원시 권선구 정조로485번길 13-1,경기도 수원시 권선구 세류동 569-13,37.2522677874,127.0106874294
596,새터경로당,246.24,경기도 수원시 권선구 새터로29번길 19-1,경기도 수원시 권선구 세류동 666-4,37.2528036429,127.0073123479
598,가림리경로당,112.06,경기도 수원시 권선구 매송고색로503번길 89,경기도 수원시 권선구 오목천동 1145,37.2465779759,126.9564897008
601,입북경로당,166.71,경기도 수원시 권선구 입북로 35-4,경기도 수원시 권선구 입북동 412-13,37.2950035698,126.9590862436
602,웃거리경로당,265.83,경기도 수원시 권선구 서둔로269번길 12,경기도 수원시 권선구 탑동 2-3,37.2752861013,126.9782561126
604,북탑경로당,219.88,경기도 수원시 권선구 서둔로199번길 10,경기도 수원시 권선구 탑동 888-9,37.2692410283,126.9789971089
605,시립탑고을어린이집,823.47,경기도 수원시 권선구 호매실로 12,경기도 수원시 권선구 탑동 900,37.2576448884,126.9719386366
607,평동경로당,98.98,경기도 수원시 권선구 평동로 95-10,경기도 수원시 권선구 평동 10-44,37.2597712632,126.9944446291
608,매원경로당,81.46,경기도 수원시 영통구 신원로276번길 36,경기도 수원시 영통구 원천동 369,37.2603134707,127.0627033244
610,원천먼내경로당,115,경기도 수원시 영통구 동탄원천로1109번길 22,경기도 수원시 영통구 원천동 463-1,37.2695790405,127.0576419439
618,광교대학로경로당,115.24,경기도 수원시 영통구 대학4로 23,경기도 수원시 영통구 이의동 1246-2,37.2996633859,127.0470174599
636,평동어린이집,353,경기도 수원시 권선구 평동로79번길 34,경기도 수원시 권선구 평동 4-25,37.2597070115,126.9941744026
644,두암경로당,161.42,경기도 수원시 권선구 칠보로241번길 11-3,경기도 수원시 권선구 호매실동 79-9,37.2696103094,126.958839358
648,산남경로당,79.56,경기도 수원시 영통구 매봉로35번길 43,경기도 수원시 영통구 매탄동 111-107,37.2717061753,127.0504221248
654,가마니골 경로당,183.9,경기도 수원시 영통구 권광로304번길 32,경기도 수원시 영통구 매탄동 168-1,37.2741219694,127.0387221947
655,매탄2동경로당,73.8,경기도 수원시 영통구 매여울로10번길 14-20,경기도 수원시 영통구 매탄동 196-25,37.2716856006,127.0473881583
659,하광교경로당(다목적회관),404,경기도 수원시 장안구 광교산로 365,경기도 수원시 장안구 하광교동 107-19,37.3155614379,127.0189900025
675,송죽동 안심마을 주민행복쉼터,306.64,경기도 수원시 장안구 정조로1041번길 12-3,경기도 수원시 장안구 송죽동 378-7,37.2985967143,127.0057162498
681,창훈대경로당,75.58,경기도 수원시 장안구 창훈로39번길 4,경기도 수원시 장안구 연무동 214-6,37.2961542655,127.0301368851
682,수성경로당,158,경기도 수원시 장안구 연무로20번길 15,경기도 수원시 장안구 연무동 229-16,37.2946357532,127.0290857694
683,장수경로당,68,경기도 수원시 장안구 월드컵로418번길 31,경기도 수원시 장안구 연무동 237-15,37.2943770303,127.0274965469
686,수원어린이집,659.07,경기도 수원시 장안구 경수대로744번길 49,경기도 수원시 장안구 연무동 257-26,37.2924340452,127.0239999259
692,산드래미아랫말경로당,90.56,경기도 수원시 영통구 산남로4번길 27,경기도 수원시 영통구 매탄동 861,37.2638574825,127.0486981433
693,매탄어린이집,666.92,경기도 수원시 영통구 인계로220번길 6-69,경기도 수원시 영통구 매탄동 923-21,37.2644131069,127.0408227458
696,영통동경로당,196.92,경기도 수원시 영통구 매영로 421-7,경기도 수원시 영통구 영통동 1017,37.2491086412,127.0774717063
707,하구운경로당,155.43,경기도 수원시 권선구 구운로45번길 59-46,경기도 수원시 권선구 구운동 524,37.2763347371,126.9728345705
711,권선경로당,298.73,경기도 수원시 권선구 권선로668번길 35-9,경기도 수원시 권선구 권선동 1033-10,37.2581454382,127.0240917248
715,고등분회 경로당,171.48,경기도 수원시 팔달구 고등로71번길 24-3,경기도 수원시 팔달구 고등동 39,37.2746971277,127.0048235522
726,한데우물 경로당,172.5,경기도 수원시 팔달구 행궁로26번길 21,경기도 수원시 팔달구 남창동 57-2,37.2795661396,127.0138835778
728,영화동경로당,229.38,경기도 수원시 장안구 팔달로291번길 21-20,경기도 수원시 장안구 영화동 161-5,37.2911790796,127.014621177
733,화홍경로당,206.06,경기도 수원시 장안구 수원천로 407,경기도 수원시 장안구 영화동 37-205,37.2896998549,127.0188049513
736,영화동 서문경로당,424.1,경기도 수원시 장안구 수성로262번길 77,경기도 수원시 장안구 영화동 422-26,37.2876675534,127.0046821614
740,율전경로당,167,경기도 수원시 장안구 서부로2106번길 26-16,경기도 수원시 장안구 율전동 498-11,37.2967916074,126.9717892129
744,이화경로당,100,경기도 수원시 장안구 장안로478번길 55,경기도 수원시 장안구 이목동 68,37.3207107785,126.975030359
749,기로경로당,405,경기도 수원시 장안구 수성로245번길 68,경기도 수원시 장안구 정자동 43-4,37.2922886374,126.9975440841
752,정자1동경로당,451,경기도 수원시 장안구 정자로130번길 20,경기도 수원시 장안구 정자동 840-96,37.3022042537,126.991294671
759,수원사랑어린이집,503.28,경기도 수원시 권선구 세권로304번길 30-20,경기도 수원시 권선구 권선동 1293-2,37.251384498,127.0353201495
765,남향동경로당,216.12,경기도 수원시 팔달구 창룡대로 43,경기도 수원시 팔달구 매향동 122-47,37.2829113694,127.0207771939
766,행궁동 환경관리원 쉼터,110,경기도 수원시 팔달구 창룡대로41번길 22,경기도 수원시 팔달구 매향동 20-2 외 5필지,37.2838249103,127.0193274408
769,정자1동 행정복지센터 별관(경로당),2004.37,경기도 수원시 장안구 정자로130번길 20,경기도 수원시 장안구 정자동 840-96,37.3022042537,126.991294671
778,조원경로당,91,경기도 수원시 장안구 조원로111번길 33-23,경기도 수원시 장안구 조원동 758-4,37.3001549202,127.0141347332
781,조원동 송원경로당,199.53,경기도 수원시 장안구 송정로138번길 7-9,경기도 수원시 장안구 조원동 778-13,37.2966603755,127.0126340255
784,점터경로당,67.34,경기도 수원시 장안구 정자천로13번길 19-6,경기도 수원시 장안구 천천동 361-2 201호,37.2897533661,126.9782464845
787,수원시립노인전문요양원,4762.56,경기도 수원시 장안구 수일로 33,경기도 수원시 장안구 파장동 199-2,37.3126501987,126.9952418357
789,파장경로당,282,경기도 수원시 장안구 파장천로 51,경기도 수원시 장안구 파장동 507-9,37.3099867393,126.9963317018
796,공신경로당,147.2,경기도 수원시 권선구 세류로11번길 6-1,경기도 수원시 권선구 세류동 249-12,37.2623034551,127.0049385386
797,유천경로당,182.9,경기도 수원시 권선구 권선로544번길 20,경기도 수원시 권선구 세류동 344-13,37.2622365754,127.0105327223
798,버드내경로당,113.89,경기도 수원시 권선구 수원천로 24,경기도 수원시 권선구 세류동 463-1,37.2573471817,127.0096058165
801,행복경로당,199.4,경기도 수원시 권선구 세권로94번길 36-17,경기도 수원시 권선구 세류동 512-19,37.2564353751,127.0136375628
802,버드내어린이집,265.17,경기도 수원시 권선구 정조로 511,경기도 수원시 권선구 세류동 544-5,37.2548110522,127.0110092789
808,오목천동어린이집,447.03,경기도 수원시 권선구 서수원로169번길 53,경기도 수원시 권선구 오목천동 520-1,37.2437156989,126.9673229151
810,청산경로당,90.08,경기도 수원시 권선구 상탑로53번길 28-1,경기도 수원시 권선구 탑동 32-5,37.272900628,126.9769416189
811,골말경로당,304.16,경기도 수원시 권선구 상탑로21번길 35-9,경기도 수원시 권선구 탑동 779-2,37.2722685857,126.9726373393
819,영화어린이집,355.76,경기도 수원시 장안구 수원천로 441,경기도 수원시 장안구 영화동 380-69,37.2918556745,127.0213973954
820,동부경로당,98,경기도 수원시 장안구 수원천로 445,경기도 수원시 장안구 영화동 380-93,37.2920734618,127.0217570453
821,영화서부경로당,191.73,경기도 수원시 장안구 영화로38번길 4,경기도 수원시 장안구 영화동 415-9,37.2903265568,127.0089857002
831,세일경로당,247.42,경기도 수원시 장안구 이목로74번길 42,경기도 수원시 장안구 파장동 561,37.3100078045,126.9907229962
832,노송경로당,131.7,경기도 수원시 장안구 경수대로1073번길 11,경기도 수원시 장안구 파장동 584-6,37.3083937545,126.9947963379
834,탑골택시쉼터,244.7,경기도 수원시 권선구 호매실로 46,경기도 수원시 권선구 탑동 905,37.256105382,126.968329536
835,화성경로당,137,경기도 수원시 장안구 영화로7번길 22,경기도 수원시 장안구 영화동 440-7,37.2876589821,127.0091158496
836,세류동 세정경로당,166.32,경기도 수원시 권선구 정조로413번길 38,경기도 수원시 권선구 세류동 1143-1,37.2475711339,127.0127812216
837,시립 세곡 어린이집,1509.29,경기도 수원시 권선구 세류로 16,경기도 수원시 권선구 세류동 1274,37.2617999611,127.0052463307
858,시립호매실어린이집,1089.94,경기도 수원시 권선구 서수원로 431,경기도 수원시 권선구 호매실동 1378,37.2649212818,126.9624029558
861,노림경로당,114.05,경기도 수원시 권선구 매실로 47-19,경기도 수원시 권선구 호매실동 395-34,37.2685432088,126.9561175665
862,자목경로당,242.75,경기도 수원시 권선구 칠보로88번길 90,경기도 수원시 권선구 호매실동 647-4,37.2637876088,126.9452685777
866,주막거리경로당,130.44,경기도 수원시 영통구 매여울로68번길 23,경기도 수원시 영통구 매탄동 101-16,37.2730196103,127.0450227905
867,효원경로당,135.6,경기도 수원시 영통구 매탄로65번길 17,경기도 수원시 영통구 매탄동 1166-2,37.2570472609,127.0404502121
877,상광교경로당,198,경기도 수원시 장안구 광교산로 541,경기도 수원시 장안구 상광교동 100,37.3302098177,127.0147878438
884,이목경로당,492,경기도 수원시 장안구 장안로398번길 13,경기도 수원시 장안구 이목동 743,37.3157322396,126.984623962
888,정자2동경로당,138,경기도 수원시 장안구 송정로60번길 10-23,경기도 수원시 장안구 정자동 35-22,37.2955278081,127.0025658975
890,시립정자1동어린이집,664.98,경기도 수원시 장안구 장안로309번길 27,경기도 수원시 장안구 정자동 546-19,37.307467589,126.9890248917
903,송죽동 솔대경로당,275,경기도 수원시 장안구 수일로118번길 23,경기도 수원시 장안구 송죽동 123-5,37.3078235365,127.0027557361
908,만석공원경로당,155,경기도 수원시 장안구 정조로1088번길 6-6,경기도 수원시 장안구 송죽동 457,37.3022283972,127.0033454767
909,연무경로당,1011.33,경기도 수원시 장안구 경수대로 757,경기도 수원시 장안구 연무동 181-1,37.2905582533,127.0215409972
911,연무동 유천경로당,85.44,경기도 수원시 장안구 연무로56번길 46-4,경기도 수원시 장안구 연무동 216-1,37.2973499646,127.0270830476
912,창용경로당,195,경기도 수원시 장안구 창훈로29번길 74,경기도 수원시 장안구 연무동 217-28,37.2964390429,127.0269533565
917,영화동 벽산아파트 경로당,16369.49,경기도 수원시 장안구 수성로402번길 45-2,경기도 수원시 장안구 영화동 101-7 101동 104호,37.2932915315,127.017608711
925,보훈어린이집,1446.91,경기도 수원시 장안구 송정로187번길 83,경기도 수원시 장안구 조원동 756-1,37.3014305917,127.0130884388
929,종합운동장 인조잔디구장 화장실 및 쉼터,107.64,경기도 수원시 장안구 경수대로 893,경기도 수원시 장안구 조원동 775,37.2982494608,127.0089116361
